Referencia,Fabricante,Categoria,Descripcion,URL,Impedancia,Atenuación,Rango de frecuencia,Potencia,Conector 1,Conector 2,VSWR,Montaje,RoHS,Precisión,Temperatura de trabajo,Número de vías,Pérdida de inserción,Aislamiento,Acoplamiento,Directividad,Tipo de filtro,Banda de paso,Rechazo,Valor,Tolerancia,Encapsulado,Tensión nominal,Capacidad,Dieléctrico
AT-3N-25W-4,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 3 dB, N macho/N hembra, DC-4 GHz",https://catalogo.example/producto/at-3n-25w-4,50 Ohm,3 dB,DC - 4 GHz,25 W,N macho,N hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10N-25W-4,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, N macho/N hembra, DC-4 GHz",https://catalogo.example/producto/at-10n-25w-4,50 Ohm,10 dB,DC - 4 GHz,25 W,N macho,N hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-20N-25W-4,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 20 dB, N macho/N hembra, DC-4 GHz",https://catalogo.example/producto/at-20n-25w-4,50 Ohm,20 dB,DC - 4 GHz,25 W,N macho,N hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-30N-50W-3,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 30 dB, N macho/N hembra, DC-3 GHz",https://catalogo.example/producto/at-30n-50w-3,50 Ohm,30 dB,DC - 3 GHz,50 W,N macho,N hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10N-100W-3,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, N macho/N hembra, DC-3 GHz",https://catalogo.example/producto/at-10n-100w-3,50 Ohm,10 dB,DC - 3 GHz,100 W,N macho,N hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-6K-1W-40,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 6 dB, 2.92mm macho/2.92mm hembra, DC-40 GHz",https://catalogo.example/producto/at-6k-1w-40,50 Ohm,6 dB,DC - 40 GHz,1 W,2.92mm macho,2.92mm hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10K-1W-40,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, 2.92mm macho/2.92mm hembra, DC-40 GHz",https://catalogo.example/producto/at-10k-1w-40,50 Ohm,10 dB,DC - 40 GHz,1 W,2.92mm macho,2.92mm hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
AT-10BNC-2W-4,RFComp,Componentes RF > Atenuadores,"Atenuador coaxial fijo 10 dB, BNC macho/BNC hembra, DC-4 GHz",https://catalogo.example/producto/at-10bnc-2w-4,50 Ohm,10 dB,DC - 4 GHz,2 W,BNC macho,BNC hembra,1.25,En línea,Sí,0.5 dB,-55 a 125 °C,,,,,,,,,,,,,,
LD-SMA-2W-18,RFComp,Componentes RF > Cargas,"Carga coaxial 50 ohm 2 W, SMA hembra, DC-18 GHz",https://catalogo.example/producto/ld-sma-2w-18,50 Ohm,,DC - 18 GHz,2 W,SMA hembra,,1.2,En línea,Sí,,,,,,,,,,,,,,,,
LD-SMA-5W-6,RFComp,Componentes RF > Cargas,"Carga coaxial 50 ohm 5 W, SMA hembra, DC-6 GHz",https://catalogo.example/producto/ld-sma-5w-6,50 Ohm,,DC - 6 GHz,5 W,SMA hembra,,1.2,En línea,Sí,,,,,,,,,,,,,,,,
LD-N-25W-4,RFComp,Componentes RF > Cargas,"Carga coaxial 50 ohm 25 W, N hembra, DC-4 GHz",https://catalogo.example/producto/ld-n-25w-4,50 Ohm,,DC - 4 GHz,25 W,N hembra,,1.2,En línea,Sí,,,,,,,,,,,,,,,,
LD-N-50W-3,RFComp,Componentes RF > Cargas,"Carga coaxial 50 ohm 50 W, N hembra, DC-3 GHz",https://catalogo.example/producto/ld-n-50w-3,50 Ohm,,DC - 3 GHz,50 W,N hembra,,1.2,En línea,Sí,,,,,,,,,,,,,,,,
LD-DIN-150W-3,RFComp,Componentes RF > Cargas,"Carga coaxial 50 ohm 150 W, 7-16 DIN hembra, DC-3 GHz",https://catalogo.example/producto/ld-din-150w-3,50 Ohm,,DC - 3 GHz,150 W,7-16 DIN hembra,,1.2,En línea,Sí,,,,,,,,,,,,,,,,
PD-2W-698-2700-N,RFComp,Componentes RF > Divisores,"Divisor de potencia 2 vías 698 - 2700 MHz, N hembra",https://catalogo.example/producto/pd-2w-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.25,En línea,Sí,,,2,0.3 dB,22 dB,,,,,,,,,,,
PD-3W-698-2700-N,RFComp,Componentes RF > Divisores,"Divisor de potencia 3 vías 698 - 2700 MHz, N hembra",https://catalogo.example/producto/pd-3w-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.25,En línea,Sí,,,3,0.3 dB,22 dB,,,,,,,,,,,
PD-4W-698-2700-N,RFComp,Componentes RF > Divisores,"Divisor de potencia 4 vías 698 - 2700 MHz, N hembra",https://catalogo.example/producto/pd-4w-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.25,En línea,Sí,,,4,0.3 dB,22 dB,,,,,,,,,,,
PD-4W-800-2500-SMA,RFComp,Componentes RF > Divisores,"Divisor de potencia 4 vías 800 - 2500 MHz, SMA hembra",https://catalogo.example/producto/pd-4w-800-2500-sma,50 Ohm,,800 - 2500 MHz,100 W,SMA hembra,,1.25,En línea,Sí,,,4,0.3 dB,22 dB,,,,,,,,,,,
PD-2W-1-18G-SMA,RFComp,Componentes RF > Divisores,"Divisor de potencia 2 vías 1 - 18 GHz, SMA hembra",https://catalogo.example/producto/pd-2w-1-18g-sma,50 Ohm,,1 - 18 GHz,20 W,SMA hembra,,1.25,En línea,Sí,,,2,0.3 dB,22 dB,,,,,,,,,,,
PD-8W-698-3800-4310,RFComp,Componentes RF > Divisores,"Divisor de potencia 8 vías 698 - 3800 MHz, 4.3-10 hembra",https://catalogo.example/producto/pd-8w-698-3800-4310,50 Ohm,,698 - 3800 MHz,200 W,4.3-10 hembra,,1.25,En línea,Sí,,,8,0.3 dB,22 dB,,,,,,,,,,,
DC-10dB-698-2700-N,RFComp,Componentes RF > Acopladores,"Acoplador direccional 10 dB 698 - 2700 MHz, N hembra",https://catalogo.example/producto/dc-10db-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.3,En línea,Sí,,,,0.4 dB,,10 dB,22 dB,,,,,,,,,
DC-20dB-698-2700-N,RFComp,Componentes RF > Acopladores,"Acoplador direccional 20 dB 698 - 2700 MHz, N hembra",https://catalogo.example/producto/dc-20db-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.3,En línea,Sí,,,,0.4 dB,,20 dB,22 dB,,,,,,,,,
DC-30dB-698-2700-N,RFComp,Componentes RF > Acopladores,"Acoplador direccional 30 dB 698 - 2700 MHz, N hembra",https://catalogo.example/producto/dc-30db-698-2700-n,50 Ohm,,698 - 2700 MHz,200 W,N hembra,,1.3,En línea,Sí,,,,0.4 dB,,30 dB,22 dB,,,,,,,,,
DC-20dB-1-18G-SMA,RFComp,Componentes RF > Acopladores,"Acoplador direccional 20 dB 1 - 18 GHz, SMA hembra",https://catalogo.example/producto/dc-20db-1-18g-sma,50 Ohm,,1 - 18 GHz,20 W,SMA hembra,,1.3,En línea,Sí,,,,0.4 dB,,20 dB,22 dB,,,,,,,,,
BPF-1747-N,RFComp,Componentes RF > Filtros,"Filtro paso banda 1710 - 1785 MHz, N hembra",https://catalogo.example/producto/bpf-1747-n,50 Ohm,,,50 W,N hembra,,1.4,En línea,Sí,,,,1.2 dB,,,,Paso banda,1710 - 1785 MHz,50 dB,,,,,,
BPF-1842-N,RFComp,Componentes RF > Filtros,"Filtro paso banda 1805 - 1880 MHz, N hembra",https://catalogo.example/producto/bpf-1842-n,50 Ohm,,,50 W,N hembra,,1.4,En línea,Sí,,,,1.2 dB,,,,Paso banda,1805 - 1880 MHz,50 dB,,,,,,
BPF-2140-N,RFComp,Componentes RF > Filtros,"Filtro paso banda 2110 - 2170 MHz, N hembra",https://catalogo.example/producto/bpf-2140-n,50 Ohm,,,50 W,N hembra,,1.4,En línea,Sí,,,,1.4 dB,,,,Paso banda,2110 - 2170 MHz,50 dB,,,,,,
LPF-3000-SMA,RFComp,Componentes RF > Filtros,"Filtro paso bajo DC - 3000 MHz, SMA hembra",https://catalogo.example/producto/lpf-3000-sma,50 Ohm,,,50 W,SMA hembra,,1.4,En línea,Sí,,,,0.8 dB,,,,Paso bajo,DC - 3000 MHz,50 dB,,,,,,
HPF-1500-SMA,RFComp,Componentes RF > Filtros,"Filtro paso alto 1500 - 6000 MHz, SMA hembra",https://catalogo.example/producto/hpf-1500-sma,50 Ohm,,,50 W,SMA hembra,,1.4,En línea,Sí,,,,1.0 dB,,,,Paso alto,1500 - 6000 MHz,50 dB,,,,,,
AD-SMAM-NF,RFComp,Componentes RF > Adaptadores,Adaptador coaxial SMA macho a N hembra,https://catalogo.example/producto/ad-smam-nf,50 Ohm,,DC - 18 GHz,,SMA macho,N hembra,1.2,En línea,Sí,,,,,,,,,,,,,,,,
AD-SMAF-NM,RFComp,Componentes RF > Adaptadores,Adaptador coaxial SMA hembra a N macho,https://catalogo.example/producto/ad-smaf-nm,50 Ohm,,DC - 18 GHz,,SMA hembra,N macho,1.2,En línea,Sí,,,,,,,,,,,,,,,,
AD-SMAF-SMAF,RFComp,Componentes RF > Adaptadores,Adaptador coaxial SMA hembra a SMA hembra,https://catalogo.example/producto/ad-smaf-smaf,50 Ohm,,DC - 18 GHz,,SMA hembra,SMA hembra,1.2,En línea,Sí,,,,,,,,,,,,,,,,
AD-NF-NF,RFComp,Componentes RF > Adaptadores,Adaptador coaxial N hembra a N hembra,https://catalogo.example/producto/ad-nf-nf,50 Ohm,,DC - 11 GHz,,N hembra,N hembra,1.2,En línea,Sí,,,,,,,,,,,,,,,,
AD-BNCF-SMAM,RFComp,Componentes RF > Adaptadores,Adaptador coaxial BNC hembra a SMA macho,https://catalogo.example/producto/ad-bncf-smam,50 Ohm,,DC - 4 GHz,,BNC hembra,SMA macho,1.2,En línea,Sí,,,,,,,,,,,,,,,,
RES-4K7-1-0805,PasivosPlus,Pasivos > Resistencias,Resistencia chip 4.7 kOhm 1 % 0805,https://catalogo.example/producto/res-4k7-1-0805,,,,0.25 W,,,,,Sí,,,,,,,,,,,4.7 kOhm,1 %,0805,150 V,,
RES-4K7-5-0603,PasivosPlus,Pasivos > Resistencias,Resistencia chip 4.7 kOhm 5 % 0603,https://catalogo.example/producto/res-4k7-5-0603,,,,0.125 W,,,,,Sí,,,,,,,,,,,4.7 kOhm,5 %,0603,150 V,,
RES-10K-1-0805,PasivosPlus,Pasivos > Resistencias,Resistencia chip 10 kOhm 1 % 0805,https://catalogo.example/producto/res-10k-1-0805,,,,0.25 W,,,,,Sí,,,,,,,,,,,10 kOhm,1 %,0805,150 V,,
RES-50R-1-1206,PasivosPlus,Pasivos > Resistencias,Resistencia chip 50 Ohm 1 % 1206,https://catalogo.example/producto/res-50r-1-1206,,,,0.5 W,,,,,Sí,,,,,,,,,,,50 Ohm,1 %,1206,150 V,,
CAP-100N-50-X7R-0805,PasivosPlus,Pasivos > Condensadores,Condensador cerámico 100 nF 50 V X7R 0805,https://catalogo.example/producto/cap-100n-50-x7r-0805,,,,,,,,,Sí,,,,,,,,,,,,10 %,0805,50 V,100 nF,X7R
CAP-100N-25-X7R-0603,PasivosPlus,Pasivos > Condensadores,Condensador cerámico 100 nF 25 V X7R 0603,https://catalogo.example/producto/cap-100n-25-x7r-0603,,,,,,,,,Sí,,,,,,,,,,,,10 %,0603,25 V,100 nF,X7R
CAP-4N7-50-C0G-0603,PasivosPlus,Pasivos > Condensadores,Condensador cerámico 4.7 nF 50 V C0G 0603,https://catalogo.example/producto/cap-4n7-50-c0g-0603,,,,,,,,,Sí,,,,,,,,,,,,5 %,0603,50 V,4.7 nF,C0G
CAP-10U-16-X5R-1206,PasivosPlus,Pasivos > Condensadores,Condensador cerámico 10 uF 16 V X5R 1206,https://catalogo.example/producto/cap-10u-16-x5r-1206,,,,,,,,,Sí,,,,,,,,,,,,20 %,1206,16 V,10 uF,X5R
